name,L-S,smiles,comment,ee,T,ddG,ligand,substrate,solvent
R37,L1-19-S1,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)O[C@H](COC)c1ccccc1)cccc2.C=C(CC(=O)OC)C(=O)OC.ClCCl,,93.9,297.15,2.042565711,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)O[C@H](COC)c1ccccc1)cccc2,C=C(CC(=O)OC)C(=O)OC,ClCCl
R38,L1-20-S1,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)O[C@H]1C[C@H](CC[C@@H]1C(C)C)C)cccc2.C=C(CC(=O)OC)C(=O)OC.ClCCl,,95.2,297.15,2.188037922,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)O[C@H]1C[C@H](CC[C@@H]1C(C)C)C)cccc2,C=C(CC(=O)OC)C(=O)OC,ClCCl
R39,L1-20-S1,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)O[C@H]1C[C@H](CC[C@@H]1C(C)C)C)cccc2.C=C(CC(=O)OC)C(=O)OC.ClCCl,,90.5,297.15,1.770527,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)O[C@H]1C[C@H](CC[C@@H]1C(C)C)C)cccc2,C=C(CC(=O)OC)C(=O)OC,ClCCl
R40,L2-1-S7,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCCCC1)cccc2.C(=N\c1ccccc1)(/c1ccccc1)\C.ClCCl,,87.0,297.15,1.574362763,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCCCC1)cccc2,C(=N\c1ccccc1)(/c1ccccc1)\C,ClCCl
R41,L2-1-S8,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCCCC1)cccc2.C(=N\c1ccc(cc1)OC)(/c1ccccc1)\C.ClCCl,,71.0,297.15,1.047761294,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCCCC1)cccc2,C(=N\c1ccc(cc1)OC)(/c1ccccc1)\C,ClCCl
R42,L2-1-S9,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCCCC1)cccc2.C(=N\c1c(cccc1)OC)(/c1ccccc1)\C.ClCCl,,97.0,297.15,2.470994528,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCCCC1)cccc2,C(=N\c1c(cccc1)OC)(/c1ccccc1)\C,ClCCl
R43,L2-1-S10,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCCCC1)cccc2.C(=N\c1cc(cc(c1)C)C)(/c1ccccc1)\C.ClCCl,,99.0,297.15,3.125688001,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCCCC1)cccc2,C(=N\c1cc(cc(c1)C)C)(/c1ccccc1)\C,ClCCl
R44,L2-1-S11,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCCCC1)cccc2.C(=N\c1cc(c(c(c1)OC)OC)OC)(/c1ccccc1)\C.ClCCl,,99.0,297.15,3.125688001,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCCCC1)cccc2,C(=N\c1cc(c(c(c1)OC)OC)OC)(/c1ccccc1)\C,ClCCl
R45,L2-1-S12,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCCCC1)cccc2.C(=N\c1cc(c(c(c1)C)OC)C)(/c1ccccc1)\C.ClCCl,,99.0,297.15,3.125688001,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCCCC1)cccc2,C(=N\c1cc(c(c(c1)C)OC)C)(/c1ccccc1)\C,ClCCl
R46,L2-1-S9,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCCCC1)cccc2.C(=N\c1c(cccc1)OC)(/c1ccccc1)\C.ClCCl,,97.0,297.15,2.470994528,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCCCC1)cccc2,C(=N\c1c(cccc1)OC)(/c1ccccc1)\C,ClCCl
R47,L2-1-S14,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCCCC1)cccc2.C(=N\c1c(cccc1)OC)(/c1cc2c(cc1)cccc2)\C.ClCCl,,97.0,297.15,2.470994528,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCCCC1)cccc2,C(=N\c1c(cccc1)OC)(/c1cc2c(cc1)cccc2)\C,ClCCl
R48,L2-1-S15,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCCCC1)cccc2.C(=N\c1c(cccc1)OC)(/c1ccc(cc1)C)\C.ClCCl,,98.0,297.15,2.713410895,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCCCC1)cccc2,C(=N\c1c(cccc1)OC)(/c1ccc(cc1)C)\C,ClCCl
R49,L2-1-S16,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCCCC1)cccc2.C(=N\c1c(cccc1)OC)(/c1ccc(cc1)Cl)\C.ClCCl,,97.0,297.15,2.470994528,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCCCC1)cccc2,C(=N\c1c(cccc1)OC)(/c1ccc(cc1)Cl)\C,ClCCl
R50,L2-1-S17,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCCCC1)cccc2.C(=N\c1c(cccc1)OC)(/c1ccc(cc1)C(F)(F)F)\C.ClCCl,,97.0,297.15,2.470994528,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCCCC1)cccc2,C(=N\c1c(cccc1)OC)(/c1ccc(cc1)C(F)(F)F)\C,ClCCl
R51,L2-1-S18,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCCCC1)cccc2.C(=N\c1c(cccc1)OC)(/c1ccc(cc1)F)\C.ClCCl,,97.0,297.15,2.470994528,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCCCC1)cccc2,C(=N\c1c(cccc1)OC)(/c1ccc(cc1)F)\C,ClCCl
R52,L2-1-S79,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCCCC1)cccc2.C(=N\c1c(cccc1)OC)(/c1ccc(cc1)F)\C.ClCCl,,93.0,297.15,1.958553289,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCCCC1)cccc2,C(=N\c1c(cccc1)OC)(/c1ccc(cc1)F)\C,ClCCl
R53,L2-1-S20,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCCCC1)cccc2.C(=N\c1c(cccc1)OC)(/c1ccccc1)\CC.ClCCl,,94.0,297.15,2.052630696,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCCCC1)cccc2,C(=N\c1c(cccc1)OC)(/c1ccccc1)\CC,ClCCl
R54,L2-1-S21,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCCCC1)cccc2.C(=N\c1c(cccc1)OC)(/c1ccccc1)\CCC.ClCCl,,97.0,297.15,2.470994528,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N1CCCCC1)cccc2,C(=N\c1c(cccc1)OC)(/c1ccccc1)\CCC,ClCCl
R55,L2-5-S22,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N(c1c(cccc1)P(c1ccccc1)c1ccccc1)c1ccccc1)cccc2.c1(nc2c(cc1)cccc2)C.c1(ccccc1)C,,67.0,297.15,0.957485028,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N(c1c(cccc1)P(c1ccccc1)c1ccccc1)c1ccccc1)cccc2,c1(nc2c(cc1)cccc2)C,c1(ccccc1)C
R56,L2-2-S22,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N([C@@H](C)c1ccccc1)c1c(cccc1)P(c1ccccc1)c1ccccc1)cccc2.c1(nc2c(cc1)cccc2)C.c1(ccccc1)C,,96.0,297.15,2.298113638,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N([C@@H](C)c1ccccc1)c1c(cccc1)P(c1ccccc1)c1ccccc1)cccc2,c1(nc2c(cc1)cccc2)C,c1(ccccc1)C
R57,L2-3-S22,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N([C@H](C)c1c3ccccc3ccc1)c1c(cccc1)P(c1ccccc1)c1ccccc1)cccc2.c1(nc2c(cc1)cccc2)C.c1(ccccc1)C,,97.0,297.15,2.470994528,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N([C@H](C)c1c3ccccc3ccc1)c1c(cccc1)P(c1ccccc1)c1ccccc1)cccc2,c1(nc2c(cc1)cccc2)C,c1(ccccc1)C
R58,L2-4-S22,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N([C@@H](C)c1c3ccccc3ccc1)c1c(cccc1)P(c1ccccc1)c1ccccc1)cccc2.c1(nc2c(cc1)cccc2)C.c1(ccccc1)C,,81.0,297.15,1.331017661,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N([C@@H](C)c1c3ccccc3ccc1)c1c(cccc1)P(c1ccccc1)c1ccccc1)cccc2,c1(nc2c(cc1)cccc2)C,c1(ccccc1)C
R59,L2-2-S23,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N([C@@H](C)c1ccccc1)c1c(cccc1)P(c1ccccc1)c1ccccc1)cccc2.c1(nc2c(cc1)cccc2)c1ccccc1.c1(ccccc1)C,,90.0,297.15,1.73868649,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N([C@@H](C)c1ccccc1)c1c(cccc1)P(c1ccccc1)c1ccccc1)cccc2,c1(nc2c(cc1)cccc2)c1ccccc1,c1(ccccc1)C
R60,L2-3-S23,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N([C@H](C)c1c3ccccc3ccc1)c1c(cccc1)P(c1ccccc1)c1ccccc1)cccc2.c1(nc2c(cc1)cccc2)c1ccccc1.c1(ccccc1)C,,89.0,297.15,1.679289888,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N([C@H](C)c1c3ccccc3ccc1)c1c(cccc1)P(c1ccccc1)c1ccccc1)cccc2,c1(nc2c(cc1)cccc2)c1ccccc1,c1(ccccc1)C
R61,L2-6-S24,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N(C)Cc1ccccc1)cccc2.[C](=[N+])(c1c(cccc1)Cl)c1ccccc1.[Cl-].ClCCl,,87.0,297.15,1.574362763,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N(C)Cc1ccccc1)cccc2,[C](=[N+])(c1c(cccc1)Cl)c1ccccc1.[Cl-],ClCCl
R62,L2-6-S25,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N(C)Cc1ccccc1)cccc2.[C](=[N+])(c1c(cccc1)Br)c1ccccc1.[Cl-].ClCCl,,91.0,297.15,1.804001442,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N(C)Cc1ccccc1)cccc2,[C](=[N+])(c1c(cccc1)Br)c1ccccc1.[Cl-],ClCCl
R63,L2-6-S26,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N(C)Cc1ccccc1)cccc2.[C](=[N+])(c1c(cccc1)C)c1ccccc1.[Cl-].ClCCl,,82.0,297.15,1.366197712,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N(C)Cc1ccccc1)cccc2,[C](=[N+])(c1c(cccc1)C)c1ccccc1.[Cl-],ClCCl
R64,L2-6-S27,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N(C)Cc1ccccc1)cccc2.[C](=[N+])(c1c(cccc1)OC)c1ccccc1.[Cl-].ClCCl,,76.0,297.15,1.176526814,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N(C)Cc1ccccc1)cccc2,[C](=[N+])(c1c(cccc1)OC)c1ccccc1.[Cl-],ClCCl
R65,L2-6-S28,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N(C)Cc1ccccc1)cccc2.[C](=[N+])(c1c(c(ccc1)C)C)c1ccccc1.[Cl-].ClCCl,,86.0,297.15,1.527435905,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N(C)Cc1ccccc1)cccc2,[C](=[N+])(c1c(c(ccc1)C)C)c1ccccc1.[Cl-],ClCCl
R66,L2-6-S29,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N(C)Cc1ccccc1)cccc2.[C](=[N+])(c1c(cccc1)Cl)c1ccc(cc1)C.[Cl-].ClCCl,,92.0,297.15,1.876635685,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N(C)Cc1ccccc1)cccc2,[C](=[N+])(c1c(cccc1)Cl)c1ccc(cc1)C.[Cl-],ClCCl
R67,L2-6-S30,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N(C)Cc1ccccc1)cccc2.[C](=[N+])(c1c(cccc1)Cl)c1ccc(cc1)OC.[Cl-].ClCCl,,93.0,297.15,1.958553289,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N(C)Cc1ccccc1)cccc2,[C](=[N+])(c1c(cccc1)Cl)c1ccc(cc1)OC.[Cl-],ClCCl
R68,L2-6-S31,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N(C)Cc1ccccc1)cccc2.[C](=[N+])(c1c(cccc1)C)c1ccc(cc1)C.[Cl-].ClCCl,,91.0,297.15,1.804001442,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N(C)Cc1ccccc1)cccc2,[C](=[N+])(c1c(cccc1)C)c1ccc(cc1)C.[Cl-],ClCCl
R69,L2-6-S32,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N(C)Cc1ccccc1)cccc2.[C](=[N+])(c1c(cccc1)C)c1ccc(cc1)OC.[Cl-].ClCCl,,94.0,297.15,2.052630696,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N(C)Cc1ccccc1)cccc2,[C](=[N+])(c1c(cccc1)C)c1ccc(cc1)OC.[Cl-],ClCCl
R70,L2-6-S33,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N(C)Cc1ccccc1)cccc2.[C](=[N+])(c1c(c(ccc1)C(F)(F)F)Cl)c1ccc(cc1)C.[Cl-].ClCCl,,92.0,297.15,1.876635685,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N(C)Cc1ccccc1)cccc2,[C](=[N+])(c1c(c(ccc1)C(F)(F)F)Cl)c1ccc(cc1)C.[Cl-],ClCCl
R71,L2-6-S34,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N(C)Cc1ccccc1)cccc2.[C](=[N+])(c1c(ccc(c1)Cl)Cl)c1ccc(cc1)C.[Cl-].ClCCl,,72.0,297.15,1.071925811,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N(C)Cc1ccccc1)cccc2,[C](=[N+])(c1c(ccc(c1)Cl)Cl)c1ccc(cc1)C.[Cl-],ClCCl
R72,L2-6-S35,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N(C)Cc1ccccc1)cccc2.[C](=[N+])(c1c(cccc1Cl)Cl)c1ccc(cc1)C.[Cl-].ClCCl,,81.0,297.15,1.331017661,c1cc2c(c3c1op(oc1c3c3ccccc3cc1)N(C)Cc1ccccc1)cccc2,[C](=[N+])(c1c(cccc1Cl)Cl)c1ccc(cc1)C.[Cl-],ClCCl
