Example,A,A(stout),A(Hammett),A(Hammett sum),A(Hammett avg.),A(C-NMR-ipso-shifts),B,B(volume),B(Hammett),C,C(volume),C(Hammett),D,D(volume),D(Hammett),Ligand,LF(volume),LB(volume),RF(volume),RB(volume),ANDEN,solvent,dielectric constant,time(h),temp
16,"2,4,6-(MeO)3C6H2",26.3517,0.01,-0.81,-0.16,113.2,CH2,23.22,-0.17,CH2,23.22,-0.17,CH2,23.22,-0.17,"(R,R)-L3",0,279.34,279.34,0,1,MTBE,4.5,24,25
17,"2,4,6-(MeO)3C6H2",26.3517,0.01,-0.81,-0.16,113.2,CH2,23.22,-0.17,CH2,23.22,-0.17,CH2,23.22,-0.17,"(R,R)-L3",0,279.34,279.34,0,1,DME,7.2,24,25
18,"2,4,6-(MeO)3C6H2",26.3517,0.01,-0.81,-0.16,113.2,CH2,23.22,-0.17,CH2,23.22,-0.17,CH2,23.22,-0.17,"(R,R)-L3",0,279.34,279.34,0,1,THF,7.58,24,25
19,4-MeOC6H4,17.665,-0.27,-0.27,-0.05,130.7,O,14.71,-0.37,CH2,23.22,-0.17,CH2,23.22,-0.17,"(R,R)-L3",0,279.34,279.34,0,1,dioxane,2.25,18,50
20,"2,6-(MeO)2C6H3",33.005,0.44,-0.54,-0.11,118.1,O,14.71,-0.37,CH2,23.22,-0.17,CH2,23.22,-0.17,"(R,R)-L3",0,279.34,279.34,0,1,dioxane,2.25,18,50
21,"2,4-(MeO)2C6H3",22.0033,-0.31,-0.54,-0.11,122.7,O,14.71,-0.37,CH2,23.22,-0.17,CH2,23.22,-0.17,"(R,R)-L3",0,279.34,279.34,0,1,dioxane,2.25,18,50
22,"2-MeO-4,6-MeC6H2",28.106,0.3,-0.61,-0.12,126.3,O,14.71,-0.37,CH2,23.22,-0.17,CH2,23.22,-0.17,"(R,R)-L3",0,279.34,279.34,0,1,dioxane,2.25,18,50
23,"2,3,4-(MeO)3C6H2",26.3517,0.08,-0.42,-0.16,128.5,O,14.71,-0.37,CH2,23.22,-0.17,CH2,23.22,-0.17,"(R,R)-L3",0,279.34,279.34,0,1,dioxane,2.25,18,50
24,"2,3,4-(MeO)3C6H2",26.3517,0.08,-0.42,-0.16,128.5,O,14.71,-0.37,CH2,23.22,-0.17,CH2,23.22,-0.17,"(S,S)-L1",279.34,0,0,279.34,0,dioxane,2.25,18,50
25,"2,3,4-(MeO)3C6H2",26.3517,0.08,-0.42,-0.16,128.5,O,14.71,-0.37,CH2,23.22,-0.17,CH2,23.22,-0.17,"(S,S)-L2",320,0,0,320,0,dioxane,2.25,18,50
26,"2,4,6-(MeO)3C6H2",26.3517,0.01,-0.81,-0.16,110.7,O,14.71,-0.37,CH2,23.22,-0.17,CH2,23.22,-0.17,"(R,R)-L3",0,279.34,279.34,0,1,dioxane,2.25,18,50
27,2-MeO-naphthyl,20.753,0.34,-0.27,-0.05,122.9,O,14.71,-0.37,CH2,23.22,-0.17,CH2,23.22,-0.17,"(R,R)-L3",0,279.34,279.34,0,1,dioxane,2.25,18,50
28,2-BnO-naphthyl,27.4,0.39,-0.24,-0.05,123,O,14.71,-0.37,CH2,23.22,-0.17,CH2,23.22,-0.17,"(R,R)-L3",0,279.34,279.34,0,1,dioxane,2.25,18,50
29,4-MeOC6H4,17.665,-0.27,-0.27,-0.05,132.2,O,14.71,-0.37,CH2CH2,40.51,-0.15,CH2,23.22,-0.17,"(R,R)-L3",0,279.34,279.34,0,1,dioxane,2.25,4,40
30,4-MeOC6H4,17.665,-0.27,-0.27,-0.05,132.2,O,14.71,-0.37,CH2CH2,40.51,-0.15,CH2,23.22,-0.17,"(S,S)-L1",279.34,0,0,279.34,0,dioxane,2.25,18,50
31,4-CF3C6H4,19.225,0.54,0.54,0.11,144.8,O,14.71,-0.37,CH2CH2,40.51,-0.15,CH2,23.22,-0.17,"(R,R)-L3",0,279.34,279.34,0,1,dioxane,2.25,18,40
32,4-CF3C6H4,19.225,0.54,0.54,0.11,144.8,O,14.71,-0.37,CH2CH2,40.51,-0.15,CH2,23.22,-0.17,"(S,S)-L1",279.34,0,0,279.34,0,dioxane,2.25,18,50
33,piperonyl,17.0616,-0.06,-0.15,-0.11,134,O,14.71,-0.37,CH2CH2,40.51,-0.15,CH2,23.22,-0.17,"(R,R)-L3",0,279.34,279.34,0,1,dioxane,2.25,6,40
34,piperonyl,17.0616,-0.06,-0.15,-0.11,134,O,14.71,-0.37,CH2CH2,40.51,-0.15,CH2,23.22,-0.17,"(S,S)-L1",279.34,0,0,279.34,0,dioxane,2.25,18,50
35,"2,6-(MeO)2C6H3",33.005,0.44,-0.54,-0.11,118.5,O,14.71,-0.37,CH2CH2,40.51,-0.15,CH2,23.22,-0.17,"(R,R)-L3",0,279.34,279.34,0,1,dioxane,2.25,1,40
36,"2,4-(MeO)2C6H3",22.0033,-0.31,-0.54,-0.11,125.4,O,14.71,-0.37,CH2CH2,40.51,-0.15,CH2,23.22,-0.17,"(R,R)-L3",0,279.34,279.34,0,1,dioxane,2.25,3,40
37,"2-MeO-4,6-MeC6H2",28.106,0.3,-0.61,-0.12,136.6,O,14.71,-0.37,CH2CH2,40.51,-0.15,CH2,23.22,-0.17,"(R,R)-L3",0,279.34,279.34,0,1,dioxane,2.25,18,40
38,"2,3,6-(MeO)3C6H2",31.622,0.08,-0.42,-0.16,124,O,14.71,-0.37,CH2CH2,40.51,-0.15,CH2,23.22,-0.17,"(R,R)-L3",0,279.34,279.34,0,1,dioxane,2.25,1,40
39,"2,3,4-(MeO)3C6H2",26.3517,0.17,-0.42,-0.16,130.9,O,14.71,-0.37,CH2CH2,40.51,-0.15,CH2,23.22,-0.17,"(R,R)-L3",0,279.34,279.34,0,1,dioxane,2.25,3,40
40,"2,3,4-(MeO)3C6H2",26.3517,0.17,-0.42,-0.16,130.9,O,14.71,-0.37,CH2CH2,40.51,-0.15,CH2,23.22,-0.17,"(S,S)-L1",279.34,0,0,279.34,0,dioxane,2.25,18,50
41,"2,4,6-(MeO)3C6H2",26.3517,0.01,-0.81,-0.16,110.7,O,14.71,-0.37,CH2CH2,40.51,-0.15,CH2,23.22,-0.17,"(R,R)-L3",0,279.34,279.34,0,1,dioxane,2.25,1,40
42,"2,4,6-(MeO)3C6H2",26.3517,0.01,-0.81,-0.16,110.7,O,14.71,-0.37,CH2CH2,40.51,-0.15,CH2,23.22,-0.17,"(R,R)-L1",0,279.34,279.34,0,0,dioxane,2.25,18,40
43,"2,4,6-(MeO)3C6H2",26.3517,0.01,-0.81,-0.16,110.7,O,14.71,-0.37,CH2CH2,40.51,-0.15,CH2,23.22,-0.17,"(S,S)-L2",320,0,0,320,0,dioxane,2.25,18,40
44,2-MeO-naphthyl,20.753,0.34,-0.27,-0.05,122.7,O,14.71,-0.37,CH2CH2,40.51,-0.15,CH2,23.22,-0.17,"(R,R)-L3",0,279.34,279.34,0,1,dioxane,2.25,3,40
45,2-BnO-naphthyl,27.4,0.39,-0.24,-0.05,123,O,14.71,-0.37,CH2CH2,40.51,-0.15,CH2,23.22,-0.17,"(R,R)-L3",0,279.34,279.34,0,1,dioxane,2.25,3,40
46,"2,4,6-(MeO)3C6H2",26.3517,0.01,-0.81,-0.16,110.7,O,14.71,-0.37,CH2CH2,40.51,-0.15,CH2,23.22,-0.17,"(R,R)-L3",0,279.34,279.34,0,1,toluene,2.38,18,40
47,"2,4,6-(MeO)3C6H2",26.3517,0.01,-0.81,-0.16,110.7,O,14.71,-0.37,CH2CH2,40.51,-0.15,CH2,23.22,-0.17,"(R,R)-L3",0,279.34,279.34,0,1,2-Me-THF,6.97,18,40
48,"2,4,6-(MeO)3C6H2",26.3517,0.01,-0.81,-0.16,110.7,O,14.71,-0.37,CH2CH2,40.51,-0.15,CH2,23.22,-0.17,"(R,R)-L3",0,279.34,279.34,0,1,MTBE,4.5,18,40
49,"2,4,6-(MeO)3C6H2",26.3517,0.01,-0.81,-0.16,110.7,O,14.71,-0.37,CH2CH2,40.51,-0.15,CH2,23.22,-0.17,"(R,R)-L3",0,279.34,279.34,0,1,DME,7.2,18,40
50,"2,4,6-(MeO)3C6H2",26.3517,0.01,-0.81,-0.16,110.7,O,14.71,-0.37,CH2CH2,40.51,-0.15,CH2,23.22,-0.17,"(R,R)-L3",0,279.34,279.34,0,1,THF,7.58,18,40
51,4-MeOC6H4,17.665,-0.27,-0.27,-0.05,130.9,O,14.71,-0.37,CH2,23.22,-0.17,C6H4,78.53,-0.01,"(R,R)-L3",0,279.34,279.34,0,1,dioxane,2.25,10,25
52,"2-MeO-4,6-MeC6H2",28.106,0.3,-0.61,-0.12,133.2,O,14.71,-0.37,CH2,23.22,-0.17,C6H4,78.53,-0.01,"(R,R)-L3",0,279.34,279.34,0,1,dioxane,2.25,10,25
53,"2,4,6-(MeO)3C6H2",26.3517,0.01,-0.81,-0.16,111.9,O,14.71,-0.37,CH2,23.22,-0.17,C6H4,78.53,-0.01,"(R,R)-L3",0,279.34,279.34,0,1,dioxane,2.25,10,25
54,2-BnO-naphthyl,27.4,0.39,-0.24,-0.05,120.4,O,14.71,-0.37,CH2,23.22,-0.17,C6H4,78.53,-0.01,"(R,R)-L3",0,279.34,279.34,0,1,dioxane,2.25,10,25
55,4-MeOC6H4,17.665,-0.27,-0.27,-0.05,122.4,O,14.71,-0.37,C6H4,78.53,-0.01,CH2,23.22,-0.17,"(R,R)-L3",0,279.34,279.34,0,1,dioxane,2.25,10,25
56,4-CF3C6H4,19.225,0.54,0.54,0.11,141.6,O,14.71,-0.37,C6H4,78.53,-0.01,CH2,23.22,-0.17,"(R,R)-L3",0,279.34,279.34,0,1,dioxane,2.25,10,25
57,piperonyl,17.0616,-0.06,-0.15,-0.11,124.4,O,14.71,-0.37,C6H4,78.53,-0.01,CH2,23.22,-0.17,"(R,R)-L3",0,279.34,279.34,0,1,dioxane,2.25,10,25
58,"2,6-(MeO)2C6H3",33.005,0.44,-0.54,-0.11,115.9,O,14.71,-0.37,C6H4,78.53,-0.01,CH2,23.22,-0.17,"(R,R)-L3",0,279.34,279.34,0,1,dioxane,2.25,10,25
59,"2,4-(MeO)2C6H3",22.0033,-0.31,-0.54,-0.11,120.5,O,14.71,-0.37,C6H4,78.53,-0.01,CH2,23.22,-0.17,"(R,R)-L3",0,279.34,279.34,0,1,dioxane,2.25,10,25
60,"2-MeO-4,6-MeC6H2",28.106,0.3,-0.61,-0.12,123.5,O,14.71,-0.37,C6H4,78.53,-0.01,CH2,23.22,-0.17,"(R,R)-L3",0,279.34,279.34,0,1,dioxane,2.25,10,25
61,"2,3,6-(MeO)3C6H2",31.622,0.08,-0.42,-0.16,121.6,O,14.71,-0.37,C6H4,78.53,-0.01,CH2,23.22,-0.17,"(R,R)-L3",0,279.34,279.34,0,1,dioxane,2.25,10,25
62,"2,3,4-(MeO)3C6H2",26.3517,0.17,-0.42,-0.16,122.5,O,14.71,-0.37,C6H4,78.53,-0.01,CH2,23.22,-0.17,"(R,R)-L3",0,279.34,279.34,0,1,dioxane,2.25,10,25
63,"2,4,6-(MeO)3C6H2",26.3517,0.01,-0.81,-0.16,108.3,O,14.71,-0.37,C6H4,78.53,-0.01,CH2,23.22,-0.17,"(R,R)-L3",0,279.34,279.34,0,1,dioxane,2.25,10,25
64,"2,4,6-(MeO)3C6H2",26.3517,0.01,-0.81,-0.16,108.3,O,14.71,-0.37,C6H4,78.53,-0.01,CH2,23.22,-0.17,"(R,R)-L1",0,279.34,279.34,0,0,dioxane,2.25,24,25
65,2-MeO-naphthyl,20.753,0.34,-0.27,-0.05,120,O,14.71,-0.37,C6H4,78.53,-0.01,CH2,23.22,-0.17,"(R,R)-L3",0,279.34,279.34,0,1,dioxane,2.25,10,25
66,2-BnO-naphthyl,27.4,0.39,-0.24,-0.05,120.3,O,14.71,-0.37,C6H4,78.53,-0.01,CH2,23.22,-0.17,"(R,R)-L3",0,279.34,279.34,0,1,dioxane,2.25,10,25
67,"2,4,6-(MeO)3C6H2",26.3517,0.01,-0.81,-0.16,108.3,O,14.71,-0.37,C6H4,78.53,-0.01,CH2,23.22,-0.17,"(R,R)-L3",0,279.34,279.34,0,1,THF,7.58,24,25
68,"2,4,6-(MeO)3C6H2",26.3517,0.01,-0.81,-0.16,108.3,O,14.71,-0.37,C6H4,78.53,-0.01,CH2,23.22,-0.17,"(R,R)-L3",0,279.34,279.34,0,1,MTBE,4.5,48,25
69,"2,4,6-(MeO)3C6H2",26.3517,0.01,-0.81,-0.16,108.3,O,14.71,-0.37,C6H4,78.53,-0.01,CH2,23.22,-0.17,"(R,R)-L3",0,279.34,279.34,0,1,DCM,8.93,48,25
70,"2,4,6-(MeO)3C6H2",26.3517,0.01,-0.81,-0.16,108.3,O,14.71,-0.37,C6H4,78.53,-0.01,CH2,23.22,-0.17,"(R,R)-L3",0,279.34,279.34,0,1,toluene,2.38,48,25
71,Ph,19.9625,0,0,0,132.3,NMe,34.21,-0.7,C3H2,39.265,0,C3H2,39.265,0,"(R,R)-L3",0,279.34,279.34,0,1,toluene,2.38,3,25
72,4-MeOC6H4,17.665,-0.27,-0.27,-0.05,131.5,NMe,34.21,-0.7,C3H2,39.265,0,C3H2,39.265,0,"(R,R)-L3",0,279.34,279.34,0,1,toluene,2.38,3,25
73,4-CF3C6H4,19.225,0.54,0.54,0.11,143.4,NMe,34.21,-0.7,C3H2,39.265,0,C3H2,39.265,0,"(R,R)-L3",0,279.34,279.34,0,1,toluene,2.38,3,25
74,piperonyl,17.0616,-0.06,-0.15,-0.11,131.7,NMe,34.21,-0.7,C3H2,39.265,0,C3H2,39.265,0,"(R,R)-L3",0,279.34,279.34,0,1,toluene,2.38,3,25
75,"2,6-(MeO)2C6H3",33.005,0.44,-0.54,-0.11,117.3,NMe,34.21,-0.7,C3H2,39.265,0,C3H2,39.265,0,"(R,R)-L3",0,279.34,279.34,0,1,toluene,2.38,3,25
76,"2,4-(MeO)2C6H3",22.0033,-0.31,-0.54,-0.11,122.1,NMe,34.21,-0.7,C3H2,39.265,0,C3H2,39.265,0,"(R,R)-L3",0,279.34,279.34,0,1,toluene,2.38,3,25
77,"2-MeO-4,6-MeC6H2",28.106,0.3,-0.61,-0.12,123,NMe,34.21,-0.7,C3H2,39.265,0,C3H2,39.265,0,"(R,R)-L3",0,279.34,279.34,0,1,toluene,2.38,3,25
78,"2,3,6-(MeO)3C6H2",31.622,0.08,-0.42,-0.16,123.4,NMe,34.21,-0.7,C3H2,39.265,0,C3H2,39.265,0,"(R,R)-L3",0,279.34,279.34,0,1,toluene,2.38,3,25
79,"2,3,4-(MeO)3C6H2",26.3517,0.17,-0.42,-0.16,127.1,NMe,34.21,-0.7,C3H2,39.265,0,C3H2,39.265,0,"(R,R)-L3",0,279.34,279.34,0,1,toluene,2.38,3,25
80,"2,4,6-(MeO)3C6H2",26.3517,0.01,-0.81,-0.16,109.9,NMe,34.21,-0.7,C3H2,39.265,0,C3H2,39.265,0,"(R,R)-L3",0,279.34,279.34,0,1,toluene,2.38,3,25
81,"2,4,6-(MeO)3C6H2",26.3517,0.01,-0.81,-0.16,109.9,NMe,34.21,-0.7,C3H2,39.265,0,C3H2,39.265,0,"(R,R)-L1",0,279.34,279.34,0,0,toluene,2.38,3,25
82,2-MeO-naphthyl,20.753,0.34,-0.27,-0.05,115.1,NMe,34.21,-0.7,C3H2,39.265,0,C3H2,39.265,0,"(R,R)-L3",0,279.34,279.34,0,1,toluene,2.38,3,25
83,2-BnO-naphthyl,27.4,0.39,-0.24,-0.05,115.3,NMe,34.21,-0.7,C3H2,39.265,0,C3H2,39.265,0,"(R,R)-L3",0,279.34,279.34,0,1,toluene,2.38,3,25
84,"2,4,6-(MeO)3C6H2",26.3517,0.01,-0.81,-0.16,109.9,NMe,34.21,-0.7,C3H2,39.265,0,C3H2,39.265,0,"(R,R)-L3",0,279.34,279.34,0,1,THF,7.58,3,25
85,"2,4,6-(MeO)3C6H2",26.3517,0.01,-0.81,-0.16,109.9,NMe,34.21,-0.7,C3H2,39.265,0,C3H2,39.265,0,"(R,R)-L3",0,279.34,279.34,0,1,2-Me-THF,6.97,3,25
86,"2,4,6-(MeO)3C6H2",26.3517,0.01,-0.81,-0.16,109.9,NMe,34.21,-0.7,C3H2,39.265,0,C3H2,39.265,0,"(R,R)-L3",0,279.34,279.34,0,1,MTBE,4.5,3,25
87,"2,4,6-(MeO)3C6H2",26.3517,0.01,-0.81,-0.16,109.9,NMe,34.21,-0.7,C3H2,39.265,0,C3H2,39.265,0,"(R,R)-L3",0,279.34,279.34,0,1,Et2O,4.33,3,25
88,phenylvinyl,22.624,0.03,0,0,141.7,C3H2,39.265,0,C3H2,39.265,0,CH2,23.22,-0.17,"(S,S)-L3",279.34,0,0,279.34,1,dioxane,2.25,18,40
89,phenylvinyl,22.624,0.03,0,0,141.7,C3H2,39.265,0,C3H2,39.265,0,CH2,23.22,-0.17,"(S,S)-L1",279.34,0,0,279.34,0,dioxane,2.25,18,40
90,phenylvinyl,22.624,0.03,0,0,141.7,C3H2,39.265,0,C3H2,39.265,0,CH2,23.22,-0.17,"(S,S)-L2",320,0,0,320,0,dioxane,2.25,18,40
91,phenylvinyl,22.624,0.03,0,0,141.7,C3H2,39.265,0,C3H2,39.265,0,CH2,23.22,-0.17,"(S,S)-L3",279.34,0,0,279.34,1,toluene,2.38,18,40
92,phenylvinyl,22.624,0.03,0,0,141.7,C3H2,39.265,0,C3H2,39.265,0,CH2,23.22,-0.17,"(S,S)-L3",279.34,0,0,279.34,1,MTBE,4.5,18,40
93,phenylvinyl,22.624,0.03,0,0,141.7,C3H2,39.265,0,C3H2,39.265,0,CH2,23.22,-0.17,"(S,S)-L3",279.34,0,0,279.34,1,THF,7.58,48,25
94,phenylvinyl,22.624,0.03,0,0,141.7,C3H2,39.265,0,C3H2,39.265,0,CH2,23.22,-0.17,"(S,S)-L3",279.34,0,0,279.34,1,2-Me-THF,6.97,20,40
95,4-MeOC6H4,17.665,-0.27,-0.27,-0.05,133.6,NBoc,118.34,-0.05,CH2CH2,40.51,-0.15,CH2,23.22,-0.17,"(S,S)-L1",279.34,0,0,279.34,0,dioxane,2.25,18,60
96,4-CF3C6H4,19.225,0.54,0.54,0.11,143.4,NBoc,118.34,-0.05,CH2CH2,40.51,-0.15,CH2,23.22,-0.17,"(S,S)-L1",279.34,0,0,279.34,0,dioxane,2.25,18,60
97,"2,3,4-(MeO)3C6H2",26.3517,0.17,-0.42,-0.16,117.9,NBoc,118.34,-0.05,CH2CH2,40.51,-0.15,CH2,23.22,-0.17,"(S,S)-L1",279.34,0,0,279.34,0,dioxane,2.25,18,60
98,"2,4,6-(MeO)3C6H2",26.3517,0.01,-0.81,-0.16,111.5,NBoc,118.34,-0.05,CH2CH2,40.51,-0.15,CH2,23.22,-0.17,"(S,S)-L1",279.34,0,0,279.34,0,dioxane,2.25,18,60
99,"2,4,6-(MeO)3C6H2",26.3517,0.01,-0.81,-0.16,111.5,NBoc,118.34,-0.05,CH2CH2,40.51,-0.15,CH2,23.22,-0.17,"(R,R)-L3",0,279.34,279.34,0,1,dioxane,2.25,18,40
100,2-MeO-naphthyl,20.753,0.34,-0.27,-0.05,130.4,NBoc,118.34,-0.05,CH2CH2,40.51,-0.15,CH2,23.22,-0.17,"(S,S)-L1",279.34,0,0,279.34,0,dioxane,2.25,18,60
101,2-BnO-naphthyl,27.4,0.39,-0.24,-0.05,130.5,NBoc,118.34,-0.05,CH2CH2,40.51,-0.15,CH2,23.22,-0.17,"(S,S)-L1",279.34,0,0,279.34,0,dioxane,2.25,18,60
102,"2,4,6-(MeO)3C6H2",26.3517,0.01,-0.81,-0.16,111.5,NBoc,118.34,-0.05,CH2CH2,40.51,-0.15,CH2,23.22,-0.17,"(S,S)-L1",279.34,0,0,279.34,0,toluene,2.38,18,60
103,"2,4,6-(MeO)3C6H2",26.3517,0.01,-0.81,-0.16,111.5,NBoc,118.34,-0.05,CH2CH2,40.51,-0.15,CH2,23.22,-0.17,"(S,S)-L1",279.34,0,0,279.34,0,MTBE,4.5,18,60
T1,"2,4,6-(MeO)3C6H2",26.3517,0.01,-0.81,-0.16,113.2,C3H2,39.265,0,C3H2,39.265,0,O,14.71,-0.37,"(R,R)-L3",0,279.34,279.34,0,1,dioxane,2.25,18,60
T2,"2,3,6-(MeO)3C6H2",31.622,0.08,-0.42,-0.16,126.4,C3H2,39.265,0,C3H2,39.265,0,O,14.71,-0.37,"(R,R)-L3",0,279.34,279.34,0,1,dioxane,2.25,18,60
T3,"2,3,4-(MeO)3C6H2",26.3517,0.17,-0.42,-0.16,130.5,C3H2,39.265,0,C3H2,39.265,0,O,14.71,-0.37,"(R,R)-L3",0,279.34,279.34,0,1,dioxane,2.25,18,60
T4,"2-MeO-4,6-MeC6H2",28.106,0.3,-0.61,-0.12,129.4,C3H2,39.265,0,C3H2,39.265,0,O,14.71,-0.37,"(R,R)-L3",0,279.34,279.34,0,1,dioxane,2.25,18,60
T5,"2,6-(MeO)2C6H3",33.005,0.44,-0.54,-0.11,116.2,C3H2,39.265,0,C3H2,39.265,0,O,14.71,-0.37,"(R,R)-L3",0,279.34,279.34,0,1,solvent,2.25,18,60
T6,"2,4-(MeO)2C6H3",22.0033,-0.31,-0.54,-0.11,124.9,C3H2,39.265,0,C3H2,39.265,0,O,14.71,-0.37,"(R,R)-L3",0,279.34,279.34,0,1,dioxane,2.25,18,60
T7,2-MeO-naphthyl,20.753,0.34,-0.27,-0.05,125.6,C3H2,39.265,0,C3H2,39.265,0,O,14.71,-0.37,"(R,R)-L3",0,279.34,279.34,0,1,dioxane,2.25,18,60
T8,2-BnO-naphthyl,27.4,0.39,-0.24,-0.05,127.3,C3H2,39.265,0,C3H2,39.265,0,O,14.71,-0.37,"(R,R)-L3",0,279.34,279.34,0,1,dioxane,2.25,18,60
T9,,,,,,,C3H2,39.265,0,C3H2,39.265,0,O,14.71,-0.37,"(R,R)-L3",0,279.34,279.34,0,1,dioxane,2.25,18,60
T10,,,,,,,C3H2,39.265,0,C3H2,39.265,0,O,14.71,-0.37,"(R,R)-L3",0,279.34,279.34,0,1,solvent,2.25,18,60
T11,4-MeOC6H4,17.655,-0.27,-0.27,-0.05,131.2,C3H2,39.265,0,C3H2,39.265,0,O,14.71,-0.37,"(R,R)-L3",0,279.34,279.34,0,1,dioxane,2.25,18,60
T12,,,,,,,C3H2,39.265,0,C3H2,39.265,0,O,14.71,-0.37,"(R,R)-L3",0,279.34,279.34,0,1,dioxane,2.25,18,60
T13,Ph,19.9625,0,0,0,139.5,C3H2,39.265,0,C3H2,39.265,0,O,14.71,-0.37,"(R,R)-L3",0,279.34,279.34,0,1,dioxane,2.25,18,60
T14,4-CF3C6H4,19.225,0.54,0.54,0.11,143.9,C3H2,39.265,0,C3H2,39.265,0,O,14.71,-0.37,"(R,R)-L3",0,279.34,279.34,0,1,dioxane,2.25,18,60
T15,"2,4,6-(MeO)3C6H2",26.3517,0.01,-0.81,-0.16,113.2,C3H2,39.265,0,C3H2,39.265,0,CH2,23.22,-0.17,"(R,R)-L3",0,279.34,279.34,0,1,solvent,2.25,16,40
T16,"2,6-(MeO)2C6H3",33.005,0.44,-0.54,-0.11,116.2,C3H2,39.265,0,C3H2,39.265,0,CH2,23.22,-0.17,"(R,R)-L3",0,279.34,279.34,0,1,dioxane,2.25,16,40
T17,"2-MeO-4,6-MeC6H2",28.106,0.3,-0.61,-0.12,129.4,C3H2,39.265,0,C3H2,39.265,0,CH2,23.22,-0.17,"(R,R)-L3",0,279.34,279.34,0,1,dioxane,2.25,16,40
T18,,,,,,,C3H2,39.265,0,C3H2,39.265,0,CH2,23.22,-0.17,"(R,R)-L3",0,279.34,279.34,0,1,dioxane,2.25,16,40
T19,2-MeO-naphthyl,20.753,0.34,-0.27,-0.05,125.6,C3H2,39.265,0,C3H2,39.265,0,CH2,23.22,-0.17,"(R,R)-L3",0,279.34,279.34,0,1,dioxane,2.25,16,40
